cik,primarysymbol,companyname,industry,sector,siccode,websiteurl,lastannualtotalassets,lastannualrevenue,lastannualnetincome,lastannualeps,totalsharesoutstandingdate
104169,WMT,WAL MART STORES INC,Food Retail & Distribution,Consumer Non-Cyclicals,5331,www.walmartstores.com,1.98825E+11,4.85873E+11,13643000000,4.38,3/29/2017 0:00
34088,XOM,EXXON MOBIL CORP,Oil & Gas Refining and Marketing,Energy,2911,http://www.exxonmobil.com/,3.30314E+11,2.18608E+11,7840000000,1.88,3/31/2017 0:00
927653,MCK,MCKESSON CORP,Drug Retailers,Consumer Non-Cyclicals,5122,www.mckesson.com,60969000000,1.98533E+11,5070000000,22.73,4/30/2017 0:00
731766,UNH,UNITEDHEALTH GROUP INC,Managed Healthcare,Healthcare,6324,www.unitedhealthgroup.com,1.2281E+11,1.8484E+11,7017000000,7.25,4/28/2017 0:00
64803,CVS,CVS HEALTH CORP,Drug Retailers,Consumer Non-Cyclicals,5912,http://www.cvs.com,94462000000,1.77526E+11,5317000000,4.91,4/26/2017 0:00
1467858,GM,GENERAL MOTORS CO,Auto & Truck Manufacturers,Consumer Cyclicals,3711,www.gm.com,2.2169E+11,1.6638E+11,9427000000,6,4/21/2017 0:00
37996,F,FORD MOTOR CO,Auto & Truck Manufacturers,Consumer Cyclicals,3711,http://www.ford.com,2.37951E+11,1.518E+11,4596000000,1.15,4/20/2017 0:00
732717,T,AT&T INC.,Wireless Telecommunications Services,Telecommunication Services,4813,http://www.att.com/,4.03821E+11,1.63786E+11,12976000000,2.1,4/30/2017 0:00
40545,GE,GENERAL ELECTRIC CO,Industrial Conglomerates,Industrials,3600,www.ge.com,3.65182E+11,1.23692E+11,8829000000,1,3/31/2017 0:00
1140859,ABC,AMERISOURCEBERGEN CORP,Drug Retailers,Consumer Non-Cyclicals,5122,www.amerisourcebergen.net,33656200000,1.4685E+11,1427929000,6.32,4/30/2017 0:00
732712,VZ,VERIZON COMMUNICATIONS INC,Integrated Telecommunications Services,Telecommunication Services,4813,www.verizon.com,2.4418E+11,1.2598E+11,13127000000,3.21,3/31/2017 0:00
93410,CVX,CHEVRON CORP,Oil & Gas Refining and Marketing,Energy,2911,http://www.chevrontexaco.com,2.60078E+11,1.10215E+11,-497000000,-0.27,3/31/2017 0:00
909832,COST,COSTCO WHOLESALE CORP /NEW,Discount Stores,Consumer Cyclicals,5331,http://www.costco.com,33163000000,1.18719E+11,2350000000,5.33,3/1/2017 0:00
310522,FNMA,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,Banks,Financials,6111,http://www.fanniemae.com,3.28797E+12,0,12313000000,0.01,3/31/2017 0:00
56873,KR,KROGER CO,Food Retail & Distribution,Consumer Non-Cyclicals,5411,http://www.kroger.com,36505000000,1.15337E+11,1975000000,2.05,3/22/2017 0:00
1018724,AMZN,AMAZON COM INC,Department Stores,Consumer Cyclicals,5961,www.amazon.com,83402000000,1.35987E+11,2371000000,4.9,4/18/2017 0:00
47217,HPQ,HP INC,Computer Hardware,Technology,3570,http://www.hp.com,29010000000,48238000000,2496000000,1.43,1/31/2017 0:00
721371,CAH,CARDINAL HEALTH INC,Drug Retailers,Consumer Non-Cyclicals,5122,www.cardinal.com,34122000000,1.21546E+11,1427000000,4.32,4/25/2017 0:00
1532063,ESRX,EXPRESS SCRIPTS HOLDING CO.,Drug Retailers,Consumer Non-Cyclicals,5912,,51744900000,1.00288E+11,3404400000,5.39,3/31/2017 0:00
19617,JPM,JPMORGAN CHASE & CO,Banks,Financials,6021,http://www.jpmorganchase.com,2.49097E+12,0,24733000000,6.19,3/31/2017 0:00
12927,BA,BOEING CO,Aerospace & Defense,Industrials,3721,http://www.boeing.com/,89997000000,94571000000,4895000000,7.61,4/19/2017 0:00
789019,MSFT,MICROSOFT CORP,Software,Technology,7372,www.microsoft.com,1.93694E+11,85320000000,16798000000,2.1,4/21/2017 0:00
70858,BAC,BANK OF AMERICA CORP /DE/,Banks,Financials,6021,http://www.bankofamerica.com,2.1877E+12,0,17906000000,1.5,5/1/2017 0:00
72971,WFC,WELLS FARGO & COMPANY/MN,Banks,Financials,6021,http://www.wellsfargo.com,1.93012E+12,0,21938000000,3.99,4/26/2017 0:00
354950,HD,HOME DEPOT INC,Home Improvement Products & Services Retailers,Consumer Cyclicals,5211,http://www.homedepot.com,42966000000,94595000000,7957000000,6.45,5/16/2017 0:00
831001,C,CITIGROUP INC,Banks,Financials,6021,www.citigroup.com,1.79208E+12,0,14912000000,4.72,3/31/2017 0:00
